n,omega,tau_type,tau_value,init_name,dt,T,final_energy,final_normalized_energy,time_to_1e_minus_2,time_to_1e_minus_4,time_to_1e_minus_6,monotone_energy_bool,min_eig_min_over_time,max_eig_max_over_time
2,0.125,negative,-0.03125,mean_only,0.02,20.0,0.0,0.0,2.3000000000000003,4.6000000000000005,6.9,True,1.0,1.0
2,0.125,negative,-0.03125,volume_high,0.02,20.0,0.0,0.0,0.2,0.5,0.7000000000000001,True,1.0000000000000002,4.0
2,0.125,negative,-0.03125,volume_low,0.02,20.0,0.0,0.0,0.4,0.7000000000000001,1.0,True,0.25,0.9999999999999993
2,0.125,negative,-0.03125,shape_only,0.02,20.0,0.0,0.0,0.7000000000000001,1.3,1.8,True,0.1353352832366127,7.38905609893065
2,0.125,negative,-0.03125,mixed,0.02,20.0,0.0,0.0,1.9000000000000001,4.2,6.5,True,0.3671783823503546,8.963378140676129
2,0.125,zero,0.0,mean_only,0.02,20.0,0.0,0.0,2.3000000000000003,4.6000000000000005,6.9,True,1.0,1.0
2,0.125,zero,0.0,volume_high,0.02,20.0,0.0,0.0,0.4,0.9,1.5,True,1.0000000000000007,4.0
2,0.125,zero,0.0,volume_low,0.02,20.0,0.0,0.0,0.8,1.4000000000000001,2.0,True,0.25,0.9999999999999987
2,0.125,zero,0.0,shape_only,0.02,20.0,0.0,0.0,0.7000000000000001,1.3,1.9000000000000001,True,0.1353352832366127,7.38905609893065
2,0.125,zero,0.0,mixed,0.02,20.0,0.0,0.0,1.8,4.1,6.4,True,0.44626032029685964,8.963378140676129
2,0.125,positive,0.03125,mean_only,0.02,20.0,0.0,0.0,2.3000000000000003,4.6000000000000005,6.9,True,1.0,1.0
2,0.125,positive,0.03125,volume_high,0.02,20.0,0.0,0.0,0.6,1.4000000000000001,2.2,True,1.0000000000000009,4.0
2,0.125,positive,0.03125,volume_low,0.02,20.0,0.0,0.0,1.2,2.1,2.9,True,0.25,0.9999999999999982
2,0.125,positive,0.03125,shape_only,0.02,20.0,0.0,0.0,0.7000000000000001,1.5,2.3000000000000003,True,0.1353352832366127,7.38905609893065
2,0.125,positive,0.03125,mixed,0.02,20.0,0.0,0.0,1.7,4.0,6.3,True,0.44626032029685964,8.963378140676129
2,0.25,negative,-0.0625,mean_only,0.02,20.0,0.0,0.0,2.3000000000000003,4.6000000000000005,6.9,True,1.0,1.0
2,0.25,negative,-0.0625,volume_high,0.02,20.0,0.0,0.0,0.4,0.9,1.5,True,1.0000000000000007,4.0
2,0.25,negative,-0.0625,volume_low,0.02,20.0,0.0,0.0,0.8,1.4000000000000001,2.0,True,0.25,0.9999999999999986
2,0.25,negative,-0.0625,shape_only,0.02,20.0,0.0,0.0,1.4000000000000001,2.5,3.7,True,0.12262225282677534,7.38905609893065
2,0.25,negative,-0.0625,mixed,0.02,20.0,0.0,0.0,2.1,4.4,6.7,True,0.35549079043665477,8.963378140676129
2,0.25,zero,0.0,mean_only,0.02,20.0,0.0,0.0,2.3000000000000003,4.6000000000000005,6.9,True,1.0,1.0
2,0.25,zero,0.0,volume_high,0.02,20.0,0.0,0.0,0.8,1.9000000000000001,3.0,True,1.0000000000000013,4.0
2,0.25,zero,0.0,volume_low,0.02,20.0,0.0,0.0,1.6,2.8000000000000003,3.9,True,0.25,0.9999999999999972
2,0.25,zero,0.0,shape_only,0.02,20.0,0.0,0.0,1.4000000000000001,2.6,3.8000000000000003,True,0.1353352832366127,7.38905609893065
2,0.25,zero,0.0,mixed,0.02,20.0,0.0,0.0,1.9000000000000001,4.2,6.5,True,0.44626032029685964,8.963378140676129
2,0.25,positive,0.0625,mean_only,0.02,20.0,0.0,0.0,2.3000000000000003,4.6000000000000005,6.9,True,1.0,1.0
2,0.25,positive,0.0625,volume_high,0.02,20.0,0.0,0.0,1.2,2.8000000000000003,4.5,True,1.0000000000013416,4.0
2,0.25,positive,0.0625,volume_low,0.02,20.0,0.0,0.0,2.4,4.2,5.9,True,0.25,0.9999999999944161
2,0.25,positive,0.0625,shape_only,0.02,20.0,0.0,0.0,1.4000000000000001,3.0,4.7,True,0.1353352832366127,7.38905609893065
2,0.25,positive,0.0625,mixed,0.02,20.0,0.0,0.0,1.8,4.1,6.3,True,0.44626032029685964,8.963378140676129
2,0.5,negative,-0.125,mean_only,0.02,20.0,0.0,0.0,2.3000000000000003,4.6000000000000005,6.9,True,1.0,1.0
2,0.5,negative,-0.125,volume_high,0.02,20.0,0.0,0.0,0.8,1.9000000000000001,3.0,True,1.0000000000000013,4.0
2,0.5,negative,-0.125,volume_low,0.02,20.0,0.0,0.0,1.6,2.8000000000000003,3.9,True,0.25,0.9999999999999972
2,0.5,negative,-0.125,shape_only,0.02,20.0,0.0,0.0,2.8000000000000003,5.1000000000000005,7.3,True,0.12276399209564282,7.38905609893065
2,0.5,negative,-0.125,mixed,0.02,20.0,0.0,0.0,2.6,5.0,7.3,True,0.3612375527036654,8.963378140676129
2,0.5,zero,0.0,mean_only,0.02,20.0,0.0,0.0,2.3000000000000003,4.6000000000000005,6.9,True,1.0,1.0
2,0.5,zero,0.0,volume_high,0.02,20.0,0.0,0.0,1.6,3.7,6.0,True,1.000000001244349,4.0
2,0.5,zero,0.0,volume_low,0.02,20.0,0.0,0.0,3.2,5.6000000000000005,7.9,True,0.25,0.9999999948793947
2,0.5,zero,0.0,shape_only,0.02,20.0,0.0,0.0,2.8000000000000003,5.3,7.6000000000000005,True,0.1353352832366127,7.38905609893065
2,0.5,zero,0.0,mixed,0.02,20.0,0.0,0.0,2.3000000000000003,4.7,7.0,True,0.44626032029685964,8.963378140676129
