experiment,target,scheme,method,d,kappa,alpha,beta,gamma,lambda0,c,bootstrap,dt,iteration,energy_gap,gap_ratio,lambda_min_C,lambda_max_C,L_n,lambda_frozen,q_dynamic,q_frozen,mean_err_norm,local_norm,status
covariance_bootstrap_scaling,gaussian,riemannian,riemannian,10,10.0,1.0,10.0,0.0,1e-10,,0,0.5,0,149.37279191926064,,1e-10,1e-10,1e-10,1e-10,1.00000000015,1.00000000015,6.064863849229003,0.0001917878346237968,ok
covariance_bootstrap_scaling,gaussian,riemannian,riemannian,10,10.0,1.0,10.0,0.0,1e-10,,0,0.5,1,146.87279190321675,0.9832633508156211,1.648721269875768e-10,1.6487212706176924e-10,1.6487212692836442e-10,1e-10,1.0000000002473082,1.00000000015,6.064863848487024,0.00024626045415630365,ok
covariance_bootstrap_scaling,gaussian,riemannian,riemannian,10,10.0,1.0,10.0,0.0,1e-10,,0,0.5,2,144.37279187676484,0.9829784673249807,2.71828182485906e-10,2.7182818280990466e-10,2.718281822273256e-10,1e-10,1.0000000004077423,1.00000000015,6.064863847263708,0.0003162046820243244,ok
covariance_bootstrap_scaling,gaussian,riemannian,riemannian,10,10.0,1.0,10.0,0.0,1e-10,,0,0.5,3,141.87279183315297,0.9826837175404501,4.4816890583114456e-10,4.481689069135402e-10,4.4816890496729436e-10,1e-10,1.0000000006722534,1.00000000015,6.0648638452468004,0.0004060148480922463,ok
covariance_bootstrap_scaling,gaussian,riemannian,riemannian,10,10.0,1.0,10.0,0.0,1e-10,,0,0.5,4,139.37279176124918,0.9823785798559326,7.389056062544382e-10,7.389056095292024e-10,7.389056036408786e-10,1e-10,1.0000000011083585,1.00000000015,6.064863841921483,0.000521333383438943,ok
covariance_bootstrap_scaling,gaussian,riemannian,riemannian,10,10.0,1.0,10.0,0.0,1e-10,,0,0.5,5,136.8727916426999,0.9820624952190677,1.2182493855704093e-09,1.2182493950203537e-09,1.2182493780284948e-09,1e-10,1.000000001827374,1.00000000015,6.06486383643896,0.0006694053126506907,ok
covariance_bootstrap_scaling,gaussian,riemannian,riemannian,10,10.0,1.0,10.0,0.0,1e-10,,0,0.5,6,134.37279144724516,0.9817348636975209,2.0085536627726997e-09,2.00855368936416e-09,2.0085536415502967e-09,1e-10,1.0000000030128304,1.00000000015,6.064863827399809,0.0008595334307402652,ok
covariance_bootstrap_scaling,gaussian,riemannian,riemannian,10,10.0,1.0,10.0,0.0,1e-10,,0,0.5,7,131.8727911249948,0.9813950406527658,3.3115451138989205e-09,3.3115451876722e-09,3.3115450550211396e-09,1e-10,1.0000000049673177,1.00000000015,6.0648638124967675,0.0011036627614672853,ok
covariance_bootstrap_scaling,gaussian,riemannian,riemannian,10,10.0,1.0,10.0,0.0,1e-10,,0,0.5,8,129.37279059369376,0.9810423324631734,5.459814777766114e-09,5.459814980759592e-09,5.459814615758877e-09,1e-10,1.000000008189722,1.00000000015,6.064863787925807,0.0014171310158024844,ok
covariance_bootstrap_scaling,gaussian,riemannian,riemannian,10,10.0,1.0,10.0,0.0,1e-10,,0,0.5,9,126.87278971772645,0.9806759917251937,9.001712512447466e-09,9.001713068291707e-09,9.001712068833288e-09,1e-10,1.0000000135025682,1.00000000015,6.064863747415143,0.0018196321978196535,ok
covariance_bootstrap_scaling,gaussian,riemannian,riemannian,10,10.0,1.0,10.0,0.0,1e-10,,0,0.5,10,124.37278827350065,0.980295211843391,1.4841314224013394e-08,1.484131574163322e-08,1.4841313012815065e-08,1e-10,1.0000000222619696,1.00000000015,6.0648636806243506,0.0023364538952353807,ok
covariance_bootstrap_scaling,gaussian,riemannian,riemannian,10,10.0,1.0,10.0,0.0,1e-10,,0,0.5,11,121.87278589237502,0.9798991208942907,2.446918863050059e-08,2.446919276682983e-08,2.4469185329335e-08,1e-10,1.000000036703778,1.00000000015,6.064863570504955,0.0030000659836172186,ok
covariance_bootstrap_scaling,gaussian,riemannian,riemannian,10,10.0,1.0,10.0,0.0,1e-10,,0,0.5,12,119.37278196656322,0.9794867746108673,4.0342866836093665e-08,4.034287809795522e-08,4.034285784810962e-08,1e-10,1.0000000605142867,1.00000000015,6.064863388948781,0.003852160545410976,ok
covariance_bootstrap_scaling,gaussian,riemannian,riemannian,10,10.0,1.0,10.0,0.0,1e-10,,0,0.5,13,116.87277549399545,0.9790571482763295,6.651412925683577e-08,6.651415989967476e-08,6.651410480108833e-08,1e-10,1.0000000997711571,1.00000000015,6.064863089613292,0.004946271140654598,ok
covariance_bootstrap_scaling,gaussian,riemannian,riemannian,10,10.0,1.0,10.0,0.0,1e-10,,0,0.5,14,114.37276482253995,0.9786091272249803,1.0966322323706774e-07,1.0966330658226186e-07,1.0966315672013321e-07,1e-10,1.0000001644947352,1.00000000015,6.064862596092605,0.006351135938469527,ok
