target,lambda,method,alpha,beta,lambda_min,lambda_max,dt_ref,c,dt,N,T_actual,initial_gap,final_gap_raw,final_gap_for_logs,q_theory,r_theory,q_riem_theory_at_dt,q_kl_theory_at_dt,q_hat_terminal,r_hat_terminal,observed_contraction,observed_rate,theory_rate,observed_over_theory_rate_ratio,q_hat_fit,r_hat_fit,fit_num_points,fit_window_status,theory_terminal_bound,terminal_slack,log10_terminal_slack,floor_limited_final,r_continuous,theory_version,status
gaussian_posterior,0.01,riemannian,0.01,1.0,0.5,100.0,0.01,0.05,0.0005,30000,15.0,52.06258509299404,1.9084400726399053e-10,1.9084400726399053e-10,0.999995125,0.009750023765732807,0.999995125,0.9999988101187501,0.999122651385826,1.755467419455758,0.999122651385826,1.755467419455758,0.009750023765732807,180.04750158922488,0.9990412396908178,1.91844042765958,19718,ok,44.97902175626296,235684747983.96167,11.372331478660405,0,0.01,kl_beta_lambda_max_no_cubic_penalty,ok
gaussian_posterior,0.01,riemannian,0.01,1.0,0.5,100.0,0.01,0.1,0.001,15000,15.0,52.06258509299404,1.8981949345686644e-10,1.8981949345686644e-10,0.9999905,0.009500045125281416,0.9999905,0.9999977295431841,0.9982457142888888,1.755826272275956,0.9982457142888888,1.755826272275956,0.009500045125281416,184.82294021987013,0.9980829511430798,1.9188887468955034,9857,ok,45.14799527717568,237846990606.5515,11.376297660816938,0,0.01,kl_beta_lambda_max_no_cubic_penalty,ok
gaussian_posterior,0.01,riemannian,0.01,1.0,0.5,100.0,0.01,0.25,0.0025,6000,15.0,52.06258509299404,1.8677526192334426e-10,1.8677526192334426e-10,0.999978125,0.008750095704500301,0.999978125,0.9999950124688279,0.9956173716040486,1.7569041056057162,0.9956173716040486,1.7569041056057162,0.008750095704500301,200.7868445029824,0.9952113020601292,1.9200801960136755,3941,ok,45.658743348884784,244458194724.00958,11.388204600257112,0,0.01,kl_beta_lambda_max_no_cubic_penalty,ok
gaussian_posterior,0.01,riemannian,0.01,1.0,0.5,100.0,0.01,0.5,0.005,3000,15.0,52.06258509299404,1.8179791005934476e-10,1.8179791005934476e-10,0.9999625,0.007500140628520449,0.9999625,0.9999917081260364,0.9912450259579111,1.758704798962628,0.9912450259579111,1.758704798962628,0.007500140628520449,234.48957640539166,0.9904345700731151,1.9222944996599156,1968,ok,46.522889785929955,255904425803.04343,11.408077796966586,0,0.01,kl_beta_lambda_max_no_cubic_penalty,ok
gaussian_posterior,0.01,riemannian,0.01,1.0,0.5,100.0,0.01,0.75,0.0075,2000,15.0,52.06258509299404,1.7693868592516537e-10,1.7693868592516537e-10,0.999953125,0.006250146488953035,0.999953125,0.9999893654732365,0.9868829559911045,1.760510960329,0.9868829559911045,1.760510960329,0.006250146488953035,281.67515168494936,0.9856714689237968,1.924290095894929,1311,ok,47.40341900612803,267908732102.69507,11.427986869047599,0,0.01,kl_beta_lambda_max_no_cubic_penalty,ok
gaussian_posterior,0.01,riemannian,0.01,1.0,0.5,100.0,0.01,1.0,0.01,1500,15.0,52.06258509299404,1.7219536907475685e-10,1.7219536907475685e-10,0.99995,0.005000125004166272,0.99995,0.9999876237623763,0.9825311554947591,1.762322531424993,0.9825311554947591,1.762322531424993,0.005000125004166272,352.4556945989484,0.9809192106721024,1.9265176862996838,982,ok,48.30063363465976,280499027901.79297,11.447931360502631,0,0.01,kl_beta_lambda_max_no_cubic_penalty,ok
gaussian_posterior,0.01,kl,0.01,1.0,0.5,100.0,0.01,0.05,0.0005,30000,15.0,52.06258509299404,1.9187385014163283e-10,1.9187385014163283e-10,0.9999988101187501,0.002379763915545335,0.999995125,0.9999988101187501,0.9991228306200238,1.7551086363144814,0.9991228306200238,1.7551086363144814,0.002379763915545335,737.5137612809334,0.9990414161299713,1.9180872107333138,19722,ok,50.23691402600774,261822619335.1781,11.4180071633305,0,0.01,kl_beta_lambda_max_no_cubic_penalty,ok
gaussian_posterior,0.01,kl,0.01,1.0,0.5,100.0,0.01,0.1,0.001,15000,15.0,52.06258509299404,1.9187829103373133e-10,1.9187829103373133e-10,0.9999977295431841,0.0022704593933803104,0.9999905,0.9999977295431841,0.9982464322064354,1.7551070933421224,0.9982464322064354,1.7551070933421224,0.0022704593933803104,773.0184906452258,0.9980836720025413,1.9181665031176551,9860,ok,50.31934841416662,262246177736.2855,11.418709167027133,0,0.01,kl_beta_lambda_max_no_cubic_penalty,ok
gaussian_posterior,0.01,kl,0.01,1.0,0.5,100.0,0.01,0.25,0.0025,6000,15.0,52.06258509299404,1.9191670475038336e-10,1.9191670475038336e-10,0.9999950124688279,0.0019950174439350332,0.999978125,0.9999950124688279,0.9956218776726459,1.7550937481214701,0.9956218776726459,1.7550937481214701,0.0019950174439350332,879.7385473781471,0.9952157389618681,1.9182968996064182,3945,ok,50.527679382299794,263279215053.31528,11.420416574472727,0,0.01,kl_beta_lambda_max_no_cubic_penalty,ok
gaussian_posterior,0.01,kl,0.01,1.0,0.5,100.0,0.01,0.5,0.005,3000,15.0,52.06258509299404,1.920643644126585e-10,1.920643644126585e-10,0.9999917081260364,0.0016583816682677484,0.9999625,0.9999917081260364,0.9912631774267778,1.7550424748751525,0.9912631774267778,1.7550424748751525,0.0016583816682677484,1058.2862247315907,0.9904524459048438,1.918684837607507,1972,ok,50.783466008893704,264408580759.85013,11.422275545050304,0,0.01,kl_beta_lambda_max_no_cubic_penalty,ok
