experiment,method,C0,dt,n,t,C,m
covariance,riemannian,0.01,0.5,0,0.0,0.01,0.0
covariance,riemannian,0.01,0.5,1,0.5,0.01640498239057044,0.0
covariance,riemannian,0.01,0.5,2,1.0,0.026826296035097206,0.0
covariance,riemannian,0.01,0.5,3,1.5,0.04363979457898863,0.0
covariance,riemannian,0.01,0.5,4,2.0,0.07039692311751218,0.0
covariance,riemannian,0.01,0.5,5,2.5,0.11205066050151587,0.0
covariance,riemannian,0.01,0.5,6,3.0,0.17467476597822315,0.0
covariance,riemannian,0.01,0.5,7,3.5,0.26390478671011935,0.0
covariance,riemannian,0.01,0.5,8,4.0,0.38131888300578554,0.0
covariance,riemannian,0.01,0.5,9,4.5,0.519557011133736,0.0
covariance,riemannian,0.01,0.5,10,5.0,0.6606327192128882,0.0
covariance,riemannian,0.01,0.5,11,5.5,0.7828034804460559,0.0
covariance,riemannian,0.01,0.5,12,6.0,0.8726023392249661,0.0
covariance,riemannian,0.01,0.5,13,6.5,0.9299945926972037,0.0
covariance,riemannian,0.01,0.5,14,7.0,0.9631233332205287,0.0
covariance,riemannian,0.01,0.5,15,7.5,0.9810464507650445,0.0
covariance,riemannian,0.01,0.5,16,8.0,0.9903877998868157,0.0
covariance,riemannian,0.01,0.5,17,8.5,0.995159159379157,0.0
covariance,riemannian,0.01,0.5,18,9.0,0.9975707802112819,0.0
covariance,riemannian,0.01,0.5,19,9.5,0.9987831756959741,0.0
covariance,riemannian,0.01,0.5,20,10.0,0.9993910324122495,0.0
covariance,riemannian,0.01,0.5,21,10.5,0.999695377117027,0.0
covariance,riemannian,0.01,0.5,22,11.0,0.999847653757406,0.0
covariance,riemannian,0.01,0.5,23,11.5,0.9999238181748181,0.0
covariance,riemannian,0.01,0.5,24,12.0,0.9999619069109865,0.0
covariance,riemannian,0.01,0.5,25,12.5,0.9999809529113313,0.0
covariance,riemannian,0.01,0.5,26,13.0,0.9999904763196181,0.0
covariance,riemannian,0.01,0.5,27,13.5,0.9999952381257962,0.0
covariance,riemannian,0.01,0.5,28,14.0,0.9999976190543948,0.0
covariance,riemannian,0.01,0.5,29,14.5,0.9999988095250717,0.0
covariance,riemannian,0.01,0.5,30,15.0,0.9999994047620044,0.0
covariance,riemannian,0.01,1.0,0,0.0,0.01,0.0
covariance,riemannian,0.01,1.0,1,1.0,0.02691234472349262,0.0
covariance,riemannian,0.01,1.0,2,2.0,0.07121281215811705,0.0
covariance,riemannian,0.01,1.0,3,3.0,0.18027075877578164,0.0
covariance,riemannian,0.01,1.0,4,4.0,0.4091939206668173,0.0
covariance,riemannian,0.01,1.0,5,5.0,0.7387763649431672,0.0
covariance,riemannian,0.01,1.0,6,6.0,0.959314427887222,0.0
covariance,riemannian,0.01,1.0,7,7.0,0.9991495466978872,0.0
covariance,riemannian,0.01,1.0,8,8.0,0.9999996381594891,0.0
covariance,riemannian,0.01,1.0,9,9.0,0.9999999999999346,0.0
covariance,riemannian,0.01,1.0,10,10.0,1.0,0.0
covariance,riemannian,0.01,1.0,11,11.0,1.0,0.0
covariance,riemannian,0.01,1.0,12,12.0,1.0,0.0
covariance,riemannian,0.01,1.0,13,13.0,1.0,0.0
covariance,riemannian,0.01,1.0,14,14.0,1.0,0.0
covariance,riemannian,0.01,1.0,15,15.0,1.0,0.0
covariance,riemannian,0.01,2.0,0,0.0,0.01,0.0
covariance,riemannian,0.01,2.0,1,2.0,0.07242742985161012,0.0
covariance,riemannian,0.01,2.0,2,4.0,0.46300147197406566,0.0
covariance,riemannian,0.01,2.0,3,6.0,1.3552311231283112,0.0
covariance,riemannian,0.01,2.0,4,8.0,0.6659835983173914,-0.0
covariance,riemannian,0.01,2.0,5,10.0,1.2989322326528498,0.0
covariance,riemannian,0.01,2.0,6,12.0,0.714393107204362,-0.0
covariance,riemannian,0.01,2.0,7,14.0,1.2647720239978637,0.0
covariance,riemannian,0.01,2.0,8,16.0,0.7447906102004532,-0.0
covariance,riemannian,0.01,5.0,0,0.0,0.01,0.0
covariance,riemannian,0.01,5.0,1,5.0,1.4117496392147686,0.0
covariance,riemannian,0.01,5.0,2,10.0,0.18015847800914184,-0.0
covariance,riemannian,0.01,5.0,3,15.0,10.862203862967203,-0.0
covariance,riemannian,0.1,0.5,0,0.0,0.1,0.0
covariance,riemannian,0.1,0.5,1,0.5,0.1568312185490169,0.0
covariance,riemannian,0.1,0.5,2,1.0,0.23906956504500035,0.0
covariance,riemannian,0.1,0.5,3,1.5,0.34975041293100473,0.0
covariance,riemannian,0.1,0.5,4,2.0,0.4841257019288267,0.0
covariance,riemannian,0.1,0.5,5,2.5,0.6265833064974844,0.0
covariance,riemannian,0.1,0.5,6,3.0,0.7552056403690555,0.0
covariance,riemannian,0.1,0.5,7,3.5,0.8535356096960511,0.0
covariance,riemannian,0.1,0.5,8,4.0,0.9183875400732634,0.0
covariance,riemannian,0.1,0.5,9,4.5,0.956638606473711,0.0
covariance,riemannian,0.1,0.5,10,5.0,0.9776056669574037,0.0
covariance,riemannian,0.1,0.5,11,5.5,0.9886135941885442,0.0
covariance,riemannian,0.1,0.5,12,6.0,0.9942580241723529,0.0
covariance,riemannian,0.1,0.5,13,6.5,0.9971166284886744,0.0
covariance,riemannian,0.1,0.5,14,7.0,0.9985551940592805,0.0
covariance,riemannian,0.1,0.5,15,7.5,0.9992768139163188,0.0
covariance,riemannian,0.1,0.5,16,8.0,0.9996382107944642,0.0
covariance,riemannian,0.1,0.5,17,8.5,0.999819056308013,0.0
covariance,riemannian,0.1,0.5,18,9.0,0.999909515875657,0.0
covariance,riemannian,0.1,0.5,19,9.5,0.9999547548674851,0.0
covariance,riemannian,0.1,0.5,20,10.0,0.9999773766660621,0.0
covariance,riemannian,0.1,0.5,21,10.5,0.9999886881410992,0.0
covariance,riemannian,0.1,0.5,22,11.0,0.999994344022565,0.0
covariance,riemannian,0.1,0.5,23,11.5,0.9999971719992862,0.0
covariance,riemannian,0.1,0.5,24,12.0,0.999998585996644,0.0
covariance,riemannian,0.1,0.5,25,12.5,0.9999992929975722,0.0
covariance,riemannian,0.1,0.5,26,13.0,0.9999996464985987,0.0
covariance,riemannian,0.1,0.5,27,13.5,0.9999998232492525,0.0
covariance,riemannian,0.1,0.5,28,14.0,0.9999999116246145,0.0
covariance,riemannian,0.1,0.5,29,14.5,0.9999999558123044,0.0
covariance,riemannian,0.1,0.5,30,15.0,0.9999999779061515,0.0
covariance,riemannian,0.1,1.0,0,0.0,0.1,0.0
covariance,riemannian,0.1,1.0,1,1.0,0.245960311115695,0.0
covariance,riemannian,0.1,1.0,2,2.0,0.5228056949553718,0.0
covariance,riemannian,0.1,1.0,3,3.0,0.8425257115465794,0.0
