target_name,lambda,method,alpha,beta,lambda0_min,lambda0_max,lambda_min,lambda_max,L_Riem,L_KL,theory_bound_available,dt_riem_theory,dt_kl_theory,dt_theory_for_method,dt_spd_max,dt_stable_max,dt_monotone_max,dt_accurate_max,stable_ratio_to_theory,monotone_ratio_to_theory,accurate_ratio_to_theory,q_riem_theory_at_dt,q_kl_theory_at_dt,theory_version
gaussian_posterior,0.01,kl,0.01,1.0,0.5,2.0,0.5,100.0,100.0,100.0,1,0.01,0.01,0.01,10.0,2.0,2.0,1.0,200.0,200.0,100.0,0.99995,0.9999876237623763,kl_beta_lambda_max_no_cubic_penalty
gaussian_posterior,0.01,riemannian,0.01,1.0,0.5,2.0,0.5,100.0,100.0,100.0,1,0.01,0.01,0.01,5.0,2.0,1.0,1.0,200.0,100.0,100.0,0.99995,0.9999876237623763,kl_beta_lambda_max_no_cubic_penalty
gaussian_posterior,0.1,kl,0.1,1.0,0.5,2.0,0.5,10.0,10.0,10.0,1,0.1,0.1,0.1,10.0,2.0,2.0,1.0,20.0,20.0,10.0,0.995,0.9988636363636364,kl_beta_lambda_max_no_cubic_penalty
gaussian_posterior,0.1,riemannian,0.1,1.0,0.5,2.0,0.5,10.0,10.0,10.0,1,0.1,0.1,0.1,2.0,2.0,1.0,1.0,20.0,10.0,10.0,0.995,0.9988636363636364,kl_beta_lambda_max_no_cubic_penalty
gaussian_posterior,1.0,kl,1.0,1.0,0.5,2.0,0.5,2.0,2.0,2.0,1,0.5,0.5,0.5,10.0,1.0,1.0,1.0,2.0,2.0,2.0,0.75,0.9583333333333334,kl_beta_lambda_max_no_cubic_penalty
gaussian_posterior,1.0,riemannian,1.0,1.0,0.5,2.0,0.5,2.0,2.0,2.0,1,0.5,0.5,0.5,5.0,2.0,1.0,1.0,4.0,2.0,2.0,0.75,0.9583333333333334,kl_beta_lambda_max_no_cubic_penalty
literature_logconcave,0.01,kl,,,,,,,,,0,,,,10.0,0.02,0.02,0.02,,,,,,kl_beta_lambda_max_no_cubic_penalty
literature_logconcave,0.01,riemannian,,,,,,,,,0,,,,0.1,0.05,0.02,0.01,,,,,,kl_beta_lambda_max_no_cubic_penalty
literature_logconcave,0.1,kl,,,,,,,,,0,,,,10.0,0.02,0.02,0.02,,,,,,kl_beta_lambda_max_no_cubic_penalty
literature_logconcave,0.1,riemannian,,,,,,,,,0,,,,0.1,0.05,0.02,0.01,,,,,,kl_beta_lambda_max_no_cubic_penalty
literature_logconcave,1.0,kl,,,,,,,,,0,,,,10.0,0.02,0.02,0.02,,,,,,kl_beta_lambda_max_no_cubic_penalty
literature_logconcave,1.0,riemannian,,,,,,,,,0,,,,0.1,0.05,0.02,0.02,,,,,,kl_beta_lambda_max_no_cubic_penalty
smooth_logconcave,0.01,kl,0.05,1.151,4.0,4.0,0.8688097306689835,20.0,23.02,23.02,1,0.043440486533449174,0.043440486533449174,0.043440486533449174,2.0,1.0,1.0,1.0,23.02,23.02,23.02,0.9981129241297372,0.999547871705522,kl_beta_lambda_max_no_cubic_penalty
smooth_logconcave,0.01,riemannian,0.05,1.151,4.0,4.0,0.8688097306689835,20.0,23.02,23.02,1,0.043440486533449174,0.043440486533449174,0.043440486533449174,2.0,1.0,1.0,1.0,23.02,23.02,23.02,0.9981129241297372,0.999547871705522,kl_beta_lambda_max_no_cubic_penalty
smooth_logconcave,0.1,kl,0.05,1.1600000000000001,4.0,4.0,0.8620689655172413,20.0,23.200000000000003,23.200000000000003,1,0.043103448275862065,0.043103448275862065,0.043103448275862065,5.0,1.0,1.0,1.0,23.200000000000003,23.200000000000003,23.200000000000003,0.99814209274673,0.9995547164434312,kl_beta_lambda_max_no_cubic_penalty
smooth_logconcave,0.1,riemannian,0.05,1.1600000000000001,4.0,4.0,0.8620689655172413,20.0,23.200000000000003,23.200000000000003,1,0.043103448275862065,0.043103448275862065,0.043103448275862065,2.0,1.0,1.0,1.0,23.200000000000003,23.200000000000003,23.200000000000003,0.99814209274673,0.9995547164434312,kl_beta_lambda_max_no_cubic_penalty
smooth_logconcave,1.0,kl,0.05,1.25,4.0,4.0,0.8,20.0,25.0,25.0,1,0.04,0.04,0.04,10.0,1.0,1.0,1.0,25.0,25.0,25.0,0.9984,0.9996153846153846,kl_beta_lambda_max_no_cubic_penalty
smooth_logconcave,1.0,riemannian,0.05,1.25,4.0,4.0,0.8,20.0,25.0,25.0,1,0.04,0.04,0.04,2.0,1.0,1.0,1.0,25.0,25.0,25.0,0.9984,0.9996153846153846,kl_beta_lambda_max_no_cubic_penalty
