family,kappa,scheme,arm,gamma,dt_nominal,dt_mean,s_train,N_train,x0,initial_gap,final_gap,final_rel_gap,n_steps,n_half,n_tol,tol_rel,n_half_over_N_train,shadow_mean_err_over_w,shadow_cov_err,cA_min,cA_max,c_min,c_max,max_energy_increase,monotone,status
manuscript,8.0,riemannian,theory,0.5,0.0625,0.0625,0.0078125,16,32768.0,547730091.8086157,503.53711457495007,9.193161414817661e-07,156,34,156,1e-06,2.125,0.0,0.0,0.12499999999999999,0.9999999999999999,0.125,0.9990485182476126,0.0,1,ok
manuscript,8.0,kl,theory,0.5,0.0625,0.0625,0.0078125,16,32768.0,547730091.8086157,535.7033693842378,9.780426114901495e-07,157,34,157,1e-06,2.125,0.0,0.0,0.12499999999999999,0.9999999999999999,0.125,0.9985598069852211,0.0,1,ok
manuscript,8.0,riemannian,const,0.5,0.5,0.5,0.0078125,16,32768.0,547730091.8086157,287.4276568584359,5.247614859160724e-07,16,4,16,1e-06,0.25,1041.3857207810488,6.991762147834502,0.12499999999999999,0.9999999999999999,0.125,0.9994847364957724,0.0,1,ok
manuscript,8.0,kl,const,0.5,0.5,0.5,0.0078125,16,32768.0,547730091.8086157,170.3741666334744,3.110549688276127e-07,18,4,18,1e-06,0.25,1028.1026086013503,6.874127289201342,0.12499999999999999,0.9999999999999999,0.125,0.9929454062865822,0.0,1,ok
manuscript,16.0,riemannian,theory,0.5,0.03125,0.03125,0.001953125,64,524288.0,140507570642.3216,132165.93696777377,9.406321407706748e-07,368,114,368,1e-06,1.78125,0.0,0.0,0.06249999999999999,0.9999999999999999,0.0625,0.9989599210181482,0.0,1,ok
manuscript,16.0,kl,theory,0.5,0.03125,0.03125,0.001953125,64,524288.0,140507570642.3216,139493.46931566016,9.927825858633414e-07,369,114,369,1e-06,1.78125,0.0,0.0,0.06249999999999999,0.9999999999999999,0.0625,0.9987031690302706,0.0,1,ok
manuscript,16.0,riemannian,const,0.5,0.5,0.5,0.001953125,64,524288.0,140507570642.3216,139449.4184285094,9.924690733106059e-07,17,5,17,1e-06,0.078125,8413.183535968223,14.976839559914879,0.06249999999999999,0.9999999999999999,0.0625,0.9992754501803622,0.0,1,ok
manuscript,16.0,kl,const,0.5,0.5,0.5,0.001953125,64,524288.0,140507570642.3216,134179.60773382103,9.549635448141857e-07,19,6,19,1e-06,0.09375,8377.685263102223,14.760062684429148,0.06249999999999999,0.9999999999999999,0.0625,0.9899523869071858,0.0,1,ok
manuscript,32.0,riemannian,theory,0.5,0.015625,0.015625,0.00048828125,256,8388608.0,36017470670798.92,35347240.791368544,9.813915339709358e-07,909,391,909,1e-06,1.52734375,0.0,0.0,0.031249999999999997,0.9999999999999999,0.03125,0.9988947178402799,0.0,1,ok
manuscript,32.0,kl,theory,0.5,0.015625,0.015625,0.00048828125,256,8388608.0,36017470670798.92,35581575.342965305,9.878976696665427e-07,911,391,911,1e-06,1.52734375,0.0,0.0,0.031249999999999997,0.9999999999999999,0.03125,0.9987776424846148,0.0,1,ok
manuscript,32.0,riemannian,const,0.5,0.5,0.5,0.00048828125,256,8388608.0,36017470670798.92,16034724.950542359,4.451929758505356e-07,19,7,19,1e-06,0.02734375,66865.76560131137,30.968629320676325,0.031249999999999997,0.9999999999999999,0.03125,0.9995094726420772,0.0,1,ok
manuscript,32.0,kl,const,0.5,0.5,0.5,0.00048828125,256,8388608.0,36017470670798.92,24932151.902976226,6.922238413368074e-07,21,8,21,1e-06,0.03125,66768.49270988732,30.558687023080445,0.031249999999999997,0.9999999999999999,0.03125,0.9907635194524396,0.0,1,ok
