potential_family,N_theta,kappa_target,M_mc,Lambda_hat_full_sym_mean,Lambda_hat_full_sym_std,Lambda_hat_raw_forward_mean,Lambda_hat_raw_forward_std,Lambda_hat_diag_mean,Lambda_hat_diag_std,Lambda_hat_separable_exact_mean,Lambda_hat_separable_exact_std,Lambda_true_mean,Lambda_true_std,gamma_loc_mean,gamma_loc_std,gamma_true_mean,gamma_true_std,inverse_gamma_loc_mean,inverse_gamma_loc_std,full_sym_minus_exact_mean,full_sym_minus_exact_std,full_sym_minus_diag_mean,full_sym_minus_diag_std,full_sym_minus_gaussian_mean,full_sym_minus_gaussian_std,full_sym_minus_separable_mean,full_sym_minus_separable_std,full_sym_over_separable_mean,full_sym_over_separable_std,full_sym_minus_separable_exact_mean,full_sym_minus_separable_exact_std,diag_minus_exact_mean,diag_minus_exact_std,abs_diag_minus_exact_mean,abs_diag_minus_exact_std,gamma_minus_gaussian_mean,gamma_minus_gaussian_std,gamma_minus_separable_mean,gamma_minus_separable_std,inverse_gamma_minus_gaussian_inverse_mean,inverse_gamma_minus_gaussian_inverse_std,self_adjoint_error_H_sym_mean,self_adjoint_error_H_sym_std,self_adjoint_error_L_star_mean,self_adjoint_error_L_star_std,n_seeds,baseline_correction_status,is_largest_M_row
gaussian,2,5.0,262144,0.004022943362613297,0.0035349303362138883,0.0022795185858611538,0.003948242007509076,0.0023605054920047205,0.003993576938367622,-2.1684908619625858e-16,0.0,0.0,0.0,0.9975986619003551,0.0022354013503709277,1.0,0.0,1.0024104728142127,0.002245473945556562,0.004022943362613514,0.0035349303362138883,0.001662437870608576,0.002872842653856152,0.0,0.0,0.0040038348051275,0.003522031659460848,170.9216569309257,126.75035024135296,0.004022943362613514,0.0035349303362138883,0.0023605054920049374,0.003993576938367622,0.0023605054920049374,0.003993576938367622,0.0,0.0,0.2274398825485571,0.022827328820190434,0.0,0.0,2.168404344971009e-18,1.5636586103463754e-18,3.049255841345045e-16,1.212507891412464e-16,3,ok,False
gaussian,2,5.0,524288,0.0006764348560043166,0.0005219691267410449,3.614007241618348e-20,6.259644161404831e-20,0.00027531560973245527,0.00029786980122718196,-2.1684908619625858e-16,0.0,0.0,0.0,0.9981959578174298,0.00044189078566480287,1.0,0.0,1.0018074335454494,0.0004435819666396383,0.0006764348560045335,0.0005219691267410449,0.0004011192462718614,0.0003373968971413768,0.0,0.0,0.0006736082955690416,0.0005201357423497262,64552.114943858825,111543.02230508829,0.0006764348560045335,0.0005219691267410449,0.0002753156097326721,0.00029786980122718196,0.0002753156097326721,0.00029786980122718196,0.0,0.0,0.22786299167826288,0.02145860011507404,0.0,0.0,7.228014483236697e-19,2.503857664561932e-19,2.9605947323337506e-16,1.2819751242557092e-16,3,ok,False
gaussian,2,5.0,1048576,0.000614871280190727,0.00021072359421609412,7.228014483236696e-20,1.2519288322809663e-19,0.00013518846578235903,0.00010878077255530829,-2.1684908619625858e-16,0.0,0.0,0.0,0.9979961179485698,0.00032909140048941105,1.0,0.0,1.0020079783065894,0.0003304711299434796,0.0006148712801909438,0.00021072359421609412,0.00047968281440836794,0.00031186891663726954,0.0,0.0,0.0006059382185570144,0.0002034398109342908,410.2866358071795,615.1473135153016,0.0006148712801909438,0.00021072359421609412,0.00013518846578257587,0.00010878077255530829,0.00013518846578257587,0.00010878077255530829,0.0,0.0,0.22728800580191466,0.022401163818710136,0.0,0.0,7.950815931560366e-19,1.251928832280966e-19,2.935310331006226e-16,1.30387256736479e-16,3,ok,False
gaussian,2,5.0,2097152,0.0005788583377536238,0.0003033685871429803,0.0,0.0,0.00027637932460055747,0.00041574934861523014,-2.1684908619625858e-16,0.0,0.0,0.0,0.9980833201491163,0.00048095272665019573,1.0,0.0,1.0019205157063975,0.0004829219650932282,0.0005788583377538406,0.0003033685871429803,0.00030247901315306634,0.0003778909735833332,0.0,0.0,0.0005764939287501216,0.00030639669696773956,843.9546423676924,720.1646297334354,0.0005788583377538406,0.0003033685871429803,0.0002763793246007743,0.00041574934861523014,0.0002763793246007743,0.00041574934861523014,0.0,0.0,0.22755693013032252,0.022549536381913884,0.0,0.0,8.673617379884035e-19,4.336808689942018e-19,2.2075518457654747e-16,1.5046465340757397e-20,3,ok,False
gaussian,2,5.0,4194304,0.00034415481254931857,0.0002764729158898138,0.0,0.0,0.0001377382558121324,0.00019083100511635176,-2.1684908619625858e-16,0.0,0.0,0.0,0.9987432222625373,0.0006827248382891525,1.0,0.0,1.0012586710147529,0.0006841868743273697,0.0003441548125495354,0.0002764729158898138,0.00020641655673718623,0.00031159918368160364,0.0,0.0,0.00034307895285362095,0.0002773824180836677,691.306034574005,579.1113762491879,0.0003441548125495354,0.0002764729158898138,0.00013773825581234924,0.00019083100511635176,0.00013773825581234924,0.00019083100511635176,0.0,0.0,0.22828505568564486,0.02309547567881625,0.0,0.0,4.336808689942018e-19,2.168404344971009e-19,1.93855199067051e-16,4.773316579830327e-17,3,ok,True
gaussian,4,5.0,262144,0.010127528813810247,0.004124247633494075,0.00329206411232565,0.005702022304322161,0.005993019825802849,0.005462435424234793,-2.1684908619625858e-16,0.0,0.0,0.0,0.9943078679025573,0.0034592749786978845,1.0,0.0,1.005732832259578,0.003498481552350277,0.010127528813810465,0.004124247633494074,0.0041345089880073975,0.002101783323873498,0.0,0.0,-0.02894351962956933,0.06500746868091868,64.3800654147482,110.28098605708496,0.010127528813810465,0.004124247633494074,0.005993019825803067,0.005462435424234791,0.005993019825803067,0.005462435424234791,0.0,0.0,0.2039426457404632,0.046366255048908046,0.0,0.0,5.782411586589357e-18,1.001543065824773e-18,8.388611564206973e-16,2.3501773815004513e-16,3,ok,False
gaussian,4,5.0,524288,0.008705314260919575,0.002775662020326732,0.0017230828083330202,0.0029844669696812566,0.003833689164456297,0.002809784038173587,-2.1684908619625858e-16,0.0,0.0,0.0,0.995012305036389,0.0021731148044720713,1.0,0.0,1.0050158947096504,0.00219638312490798,0.008705314260919791,0.0027756620203267315,0.004871625096463277,0.0003525432457038599,0.0,0.0,-0.032134246718338706,0.06449767015396779,27.545034386090204,46.70176107898065,0.008705314260919791,0.0027756620203267315,0.003833689164456514,0.002809784038173587,0.003833689164456514,0.002809784038173587,0.0,0.0,0.20432011172865946,0.04516696092401862,0.0,0.0,4.625929269271485e-18,1.324916939746771e-18,6.914532430716505e-16,2.3526172676628204e-16,3,ok,False
gaussian,4,5.0,1048576,0.006955889661833564,0.0024955095743584435,0.002449024611638546,0.002161282303336222,0.004075525886290257,0.002355223560790826,-2.1684908619625858e-16,0.0,0.0,0.0,0.9964850004915605,0.002005240822719803,1.0,0.0,1.0035301105049923,0.0020216972983329363,0.006955889661833782,0.0024955095743584435,0.0028803637755433083,0.00014971579037464423,0.0,0.0,-0.032973461118837984,0.06346564079211993,40.28531890268712,68.996012939082,0.006955889661833782,0.0024955095743584435,0.004075525886290474,0.002355223560790826,0.004075525886290474,0.002355223560790826,0.0,0.0,0.20531861033143703,0.0462861370775045,0.0,0.0,3.469446951953614e-18,1.1474117277250404e-18,6.754315308841511e-16,2.0825375398879362e-16,3,ok,False
gaussian,4,5.0,2097152,0.003146613258648274,0.001518777129043285,0.0007726262564703568,0.0013382279314683998,0.002018500308984012,0.001715946954745316,-2.1684908619625858e-16,0.0,0.0,0.0,0.9975884058633545,0.0013580383902837222,1.0,0.0,1.0024186628657081,0.0013650897422238814,0.003146613258648491,0.001518777129043285,0.0011281129496642625,0.0002496659696489363,0.0,0.0,-0.03616860214174059,0.061735813422017415,28.570762937100458,49.177517221015364,0.003146613258648491,0.001518777129043285,0.0020185003089842287,0.001715946954745316,0.0020185003089842287,0.001715946954745316,0.0,0.0,0.20627952095147342,0.04587255333584472,0.0,0.0,1.5540231138958898e-18,3.129822080702415e-19,4.311433920105736e-16,6.776533259542908e-17,3,ok,False
gaussian,4,5.0,4194304,0.0029375412725415675,0.001329380976749557,0.0009161174909107049,0.0015867620399598597,0.0017689475848985852,0.001932969568499603,-2.1684908619625858e-16,0.0,0.0,0.0,0.9980439212375781,0.0012164702523682128,1.0,0.0,1.001960905139585,0.0012215988836498063,0.002937541272541784,0.001329380976749557,0.0011685936876429822,0.0007474421914822492,0.0,0.0,-0.036631659455918786,0.061496972303413874,49.40151243483675,85.35760764952497,0.002937541272541784,0.001329380976749557,0.001768947584898802,0.001932969568499603,0.001768947584898802,0.001932969568499603,0.0,0.0,0.20669654870489937,0.04450370397445933,0.0,0.0,1.2287624621502384e-18,4.513893598020781e-19,7.401486830834377e-16,2.5639502485114184e-16,3,ok,True
