R,lambda_minus,lambda_plus,beta,L_clip,dt_safety,dt,dt_rule,step,c,c_tilde,c_next,A,F,D_kl_current_to_next,running_min_D,prefix_bound,bound_margin,clipped_lower_active,clipped_upper_active,denominator,status
20.0,0.5,2.0,1.0,128.0,0.9,0.00703125,theorem_safe,0,1.0,1.0141263500322486,1.0141263500322486,-0.9950248245134885,-0.4987541446912317,4.896349725138499e-05,4.896349725138499e-05,9.872957108615094e-05,4.976607383476595e-05,0,0,0.9930037317026396,ok
20.0,0.5,2.0,1.0,128.0,0.9,0.00703125,theorem_safe,1,1.0141263500322486,1.0285541073466304,1.0285541073466304,-0.9949548965504346,-0.5127956836901509,4.965564348510983e-05,4.896349725138499e-05,9.942901947725659e-05,5.0465522225871595e-05,0,0,0.9929053985943995,ok
20.0,0.5,2.0,1.0,128.0,0.9,0.00703125,theorem_safe,2,1.0285541073466304,1.0432926380735514,1.0432926380735514,-0.9948834866486935,-0.5270361768980958,5.036751833214625e-05,4.896349725138499e-05,0.00010014178251429853,5.117828526291354e-05,0,0,0.9928049816650667,ok
20.0,0.5,2.0,1.0,128.0,0.9,0.00703125,theorem_safe,3,1.0432926380735514,1.0583516991827908,1.0583516991827908,-0.9948105490961626,-0.5414813052306657,5.109990186528881e-05,4.896349725138499e-05,0.00010086825574689115,5.190475849550616e-05,0,0,0.9927024166411332,ok
20.0,0.5,2.0,1.0,128.0,0.9,0.00703125,theorem_safe,4,1.0583516991827908,1.0737414590588503,1.0737414590588503,-0.9947360362875022,-0.5561369746272409,5.185361377124057e-05,4.896349725138499e-05,0.00010160885082305716,5.2645353571672166e-05,0,0,0.9925976365873522,ok
20.0,0.5,2.0,1.0,128.0,0.9,0.00703125,theorem_safe,5,1.0737414590588503,1.0894725193882762,1.0894725193882762,-0.994659898625224,-0.571009327498739,5.262951581060625e-05,4.896349725138499e-05,0.00010236399632314424,5.3400499071759244e-05,0,0,0.9924905717676917,ok
20.0,0.5,2.0,1.0,128.0,0.9,0.00703125,theorem_safe,6,1.0894725193882762,1.1055559384574922,1.1055559384574922,-0.9945820844145192,-0.5861047548869814,5.342851445884478e-05,4.896349725138499e-05,0.00010313413864741461,5.417064139602962e-05,0,0,0.9923811494974923,ok
20.0,0.5,2.0,1.0,128.0,0.9,0.00703125,theorem_safe,7,1.1055559384574922,1.1220032559682187,1.1220032559682187,-0.9945025397513655,-0.6014299093891022,5.425156374354312e-05,4.896349725138499e-05,0.00010391974295975605,5.4956245708371056e-05,0,0,0.9922692939861729,ok
20.0,0.5,2.0,1.0,128.0,0.9,0.00703125,theorem_safe,8,1.1220032559682187,1.1388265194869422,1.1388265194869422,-0.9944212084033972,-0.6169917189032208,5.509966829499342e-05,4.896349725138499e-05,0.00010472129419248511,5.575779694110012e-05,0,0,0.9921549261697717,ok
20.0,0.5,2.0,1.0,128.0,0.9,0.00703125,theorem_safe,9,1.1388265194869422,1.1560383126552143,1.1560383126552143,-0.9943380316829991,-0.6327974012576126,5.5973886628604697e-05,4.896349725138499e-05,0.00010553929811683588,5.6575800865450894e-05,0,0,0.9920379635325505,ok
