target_name,kind,method,scheme,stl,seed,d,kappa,tau,dt,batch_size,n_steps,tail_mean_gap,tail_median_gap,tail_std_gap,final_gap,tail_steps,spd_fail
gaussian,gaussian,riemannian,riemannian,0,0,2,10.0,0.0,0.1,1,2000,0.0486996181067457,0.0321739594303273,0.0491766069792064,0.0271871028949508,400,0
gaussian,gaussian,riemannian,riemannian,0,1,2,10.0,0.0,0.1,1,2000,0.0492999729212302,0.0330194657192304,0.0488909881621593,0.0171846921985234,400,0
gaussian,gaussian,riemannian,riemannian,0,2,2,10.0,0.0,0.1,1,2000,0.0480274455026577,0.030507267082207,0.0492414779348484,0.0793307202092865,400,0
gaussian,gaussian,riemannian,riemannian,0,3,2,10.0,0.0,0.1,1,2000,0.0616155897698763,0.0426650334100602,0.0612988207216328,0.0383390942450365,400,0
gaussian,gaussian,riemannian,riemannian,0,4,2,10.0,0.0,0.1,1,2000,0.0612074941781704,0.0412429942629196,0.0659081063303912,0.0679304106659506,400,0
gaussian,gaussian,riemannian,riemannian,0,5,2,10.0,0.0,0.1,1,2000,0.073180706638193,0.0501870422652634,0.0700332290287966,0.0362054046903514,400,0
gaussian,gaussian,riemannian,riemannian,0,6,2,10.0,0.0,0.1,1,2000,0.0542623336635488,0.044984637566678,0.0452072144224912,0.1658196429621254,400,0
gaussian,gaussian,riemannian,riemannian,0,7,2,10.0,0.0,0.1,1,2000,0.0576781142429754,0.0446132046505812,0.0526338986016952,0.0473072401793335,400,0
gaussian,gaussian,riemannian,riemannian,0,8,2,10.0,0.0,0.1,1,2000,0.0565388578711411,0.0393613638973521,0.0582664908880759,0.0004308032081692,400,0
gaussian,gaussian,riemannian,riemannian,0,9,2,10.0,0.0,0.1,1,2000,0.0511121191981869,0.0360786282415462,0.0515587109784637,0.0083767978677893,400,0
gaussian,gaussian,riemannian,riemannian,0,10,2,10.0,0.0,0.1,1,2000,0.0672683461684897,0.0450675113640742,0.0657605317217371,0.0060731658961434,400,0
gaussian,gaussian,riemannian,riemannian,0,11,2,10.0,0.0,0.1,1,2000,0.0582586497615103,0.0411003328477885,0.0560205120799965,0.1031504770811801,400,0
gaussian,gaussian,riemannian,riemannian,0,12,2,10.0,0.0,0.1,1,2000,0.048911304200855,0.035968886512218,0.0456140321426214,0.0361546972588202,400,0
gaussian,gaussian,riemannian,riemannian,0,13,2,10.0,0.0,0.1,1,2000,0.0526398637781936,0.0385892263767252,0.0464846494234024,0.004024612219464,400,0
gaussian,gaussian,riemannian,riemannian,0,14,2,10.0,0.0,0.1,1,2000,0.0595685588411636,0.0414369078072582,0.0557231460137069,0.0669845429717848,400,0
gaussian,gaussian,riemannian,riemannian,0,15,2,10.0,0.0,0.1,1,2000,0.0704239982269008,0.0478916218059404,0.0779804688670839,0.0414332977468547,400,0
gaussian,gaussian,riemannian,riemannian,0,16,2,10.0,0.0,0.1,1,2000,0.052242830398001,0.0407527171842063,0.0484799735878637,0.0289806877429934,400,0
gaussian,gaussian,riemannian,riemannian,0,17,2,10.0,0.0,0.1,1,2000,0.0430709444827746,0.0313921733734687,0.0384405851341298,0.013861015678483,400,0
gaussian,gaussian,riemannian,riemannian,0,18,2,10.0,0.0,0.1,1,2000,0.0513468890981702,0.0309272442237154,0.0593471145867239,0.098067197189646,400,0
gaussian,gaussian,riemannian,riemannian,0,19,2,10.0,0.0,0.1,1,2000,0.0496082336781218,0.0370049889712816,0.0470371321170678,0.0612313424687409,400,0
gaussian,gaussian,kl,kl,0,0,2,10.0,0.0,0.1,1,2000,0.0486996181067455,0.032173959430327,0.0491766069792063,0.0271871028949508,400,0
