target_name,Lambda,epsilon,dt,c,h,batches_to_1e_minus_3,gap_final,spd_feasible,monotone,status
gaussian,100.0,0.01,0.05,0.0,0.0,252,0.0,1,1,ok
gaussian,100.0,0.01,0.05,0.25,0.25,210,0.0,1,1,ok
gaussian,100.0,0.01,0.05,0.5,0.5,176,0.0,1,1,ok
gaussian,100.0,0.01,0.05,0.9,0.9,148,0.0,1,1,ok
gaussian,100.0,0.01,0.1,0.0,0.0,129,0.0,1,1,ok
gaussian,100.0,0.01,0.1,0.25,0.25,124,0.0,1,1,ok
gaussian,100.0,0.01,0.1,0.5,0.5,106,0.0,1,1,ok
gaussian,100.0,0.01,0.1,0.9,0.9,92,0.0,1,1,ok
gaussian,100.0,0.01,0.2,0.0,0.0,67,0.0,1,1,ok
gaussian,100.0,0.01,0.2,0.25,0.25,72,0.0,1,1,ok
gaussian,100.0,0.01,0.2,0.5,0.5,64,0.0,1,1,ok
gaussian,100.0,0.01,0.2,0.9,0.9,56,0.0,1,1,ok
gaussian,100.0,0.01,0.5,0.0,0.0,30,0.0,1,1,ok
gaussian,100.0,0.01,0.5,0.25,0.25,36,0.0,1,1,ok
gaussian,100.0,0.01,0.5,0.5,0.5,32,0.0,1,1,ok
gaussian,100.0,0.01,0.5,0.9,0.9,30,0.0,1,1,ok
gaussian,100.0,0.01,1.0,0.0,0.0,18,0.0,1,1,ok
gaussian,100.0,0.01,1.0,0.25,0.25,22,0.0,1,1,ok
gaussian,100.0,0.01,1.0,0.5,0.5,20,0.0,1,1,ok
gaussian,100.0,0.01,1.0,0.9,0.9,18,0.0,1,1,ok
gaussian,100.0,0.001,0.05,0.0,0.0,299,0.0,1,1,ok
gaussian,100.0,0.001,0.05,0.25,0.25,210,0.0,1,1,ok
gaussian,100.0,0.001,0.05,0.5,0.5,176,0.0,1,1,ok
gaussian,100.0,0.001,0.05,0.9,0.9,148,0.0,1,1,ok
gaussian,100.0,0.001,0.1,0.0,0.0,153,0.0,1,1,ok
gaussian,100.0,0.001,0.1,0.25,0.25,124,0.0,1,1,ok
gaussian,100.0,0.001,0.1,0.5,0.5,106,0.0,1,1,ok
gaussian,100.0,0.001,0.1,0.9,0.9,92,0.0,1,1,ok
gaussian,100.0,0.001,0.2,0.0,0.0,80,0.0,1,1,ok
gaussian,100.0,0.001,0.2,0.25,0.25,72,0.0,1,1,ok
gaussian,100.0,0.001,0.2,0.5,0.5,64,0.0,1,1,ok
gaussian,100.0,0.001,0.2,0.9,0.9,56,0.0,1,1,ok
gaussian,100.0,0.001,0.5,0.0,0.0,36,0.0,1,1,ok
