target_name,Lambda,epsilon,schedule_kind,c,h,dt,batches_to_1e_minus_3,iter_to_1e_minus_3,gap_final,spd_feasible,monotone,status
gaussian,100.0,0.01,fixed_c,0.0,0.0,0.5,30,30,0.0,1,1,ok
gaussian,100.0,0.01,fixed_c,0.05,0.05,0.5,44,22,0.0,1,1,ok
gaussian,100.0,0.01,fixed_c,0.1,0.1,0.5,40,20,0.0,1,1,ok
gaussian,100.0,0.01,fixed_c,0.25,0.25,0.5,36,18,0.0,1,1,ok
gaussian,100.0,0.01,fixed_c,0.5,0.5,0.5,32,16,0.0,1,1,ok
gaussian,100.0,0.01,fixed_c,0.9,0.9,0.5,30,15,0.0,1,1,ok
gaussian,100.0,0.01,theory_mu_min,0.01,0.01,0.5,50,25,0.0,1,1,ok
gaussian,100.0,0.001,fixed_c,0.0,0.0,0.5,36,36,0.0,1,1,ok
gaussian,100.0,0.001,fixed_c,0.05,0.05,0.5,44,22,0.0,1,1,ok
gaussian,100.0,0.001,fixed_c,0.1,0.1,0.5,40,20,0.0,1,1,ok
gaussian,100.0,0.001,fixed_c,0.25,0.25,0.5,36,18,0.0,1,1,ok
gaussian,100.0,0.001,fixed_c,0.5,0.5,0.5,32,16,0.0,1,1,ok
gaussian,100.0,0.001,fixed_c,0.9,0.9,0.5,30,15,0.0,1,1,ok
gaussian,100.0,0.001,theory_mu_min,0.001,0.001,0.5,62,31,0.0,1,1,ok
gaussian,1000.0,0.01,fixed_c,0.0,0.0,0.5,36,36,0.0,1,1,ok
gaussian,1000.0,0.01,fixed_c,0.05,0.05,0.5,56,28,0.0,1,1,ok
gaussian,1000.0,0.01,fixed_c,0.1,0.1,0.5,52,26,0.0,1,1,ok
gaussian,1000.0,0.01,fixed_c,0.25,0.25,0.5,48,24,0.0,1,1,ok
gaussian,1000.0,0.01,fixed_c,0.5,0.5,0.5,44,22,-1.1102230246251565e-16,1,1,ok
gaussian,1000.0,0.01,fixed_c,0.9,0.9,0.5,42,21,-1.1102230246251565e-16,1,1,ok
gaussian,1000.0,0.01,theory_mu_min,0.01,0.01,0.5,62,31,0.0,1,1,ok
gaussian,1000.0,0.001,fixed_c,0.0,0.0,0.5,41,41,0.0,1,1,ok
gaussian,1000.0,0.001,fixed_c,0.05,0.05,0.5,56,28,0.0,1,1,ok
gaussian,1000.0,0.001,fixed_c,0.1,0.1,0.5,52,26,0.0,1,1,ok
gaussian,1000.0,0.001,fixed_c,0.25,0.25,0.5,48,24,0.0,1,1,ok
gaussian,1000.0,0.001,fixed_c,0.5,0.5,0.5,44,22,-1.1102230246251565e-16,1,1,ok
gaussian,1000.0,0.001,fixed_c,0.9,0.9,0.5,42,21,-1.1102230246251565e-16,1,1,ok
gaussian,1000.0,0.001,theory_mu_min,0.001,0.001,0.5,74,37,0.0,1,1,ok
smooth_log_cosh,100.0,0.01,fixed_c,0.0,0.0,0.5,25,25,2.886579864025407e-15,1,1,ok
smooth_log_cosh,100.0,0.01,fixed_c,0.05,0.004920787247016413,0.5,44,22,2.6645352591003757e-15,1,1,ok
smooth_log_cosh,100.0,0.01,fixed_c,0.1,0.009841574494032826,0.5,42,21,2.886579864025407e-15,1,1,ok
